TAN,NOT,City,Province,PI,RI
T10016851,Thiel Hyatt and Feeney,Tulsa,PE,890219,513497
T10028078,Jacobi and Sons,Haozhai,SK,297029,428228
T10044352,Pacocha and Sons,Lanxi,YK,275262,303720
T10050933,Brekke-Greenfelder,Dajin,SK,867265,342372
T10065010,Hickle Roberts and Hartmann,Boise,PE,986067,371464
T10066332,McLaughlin Group,Pagelaran,NS,584123,293204
T1009369,Kertzmann-Pollich,Izazi,NF,554177,828759
T10121771,Keeling Waelchi and Schaden,Damulog,YK,411818,46856
T10133352,Ratke LLC,Tawa,ON,490900,856210
T10133576,Kovacek Group,Šimanovci,QC,706769,933723
T10134476,Ritchie and Sons,Calhetas,QC,789326,18157
T10145146,Metz-Zboncak,Licheń Stary,ON,787361,649882
T10148237,Beatty-Hahn,Chlumec nad Cidlinou,SK,37321,657221
T10150983,Yost-Howell,Manfalūţ,NS,913086,999361
T10164652,Koss-Price,Pobé,SK,469584,176928
T10178223,Bogan Erdman and Douglas,Kaa-Khem,NS,695797,99808
T10187482,Wyman-Tremblay,Belang,QC,405093,836264
T10189218,Runte Rodriguez and Orn,Balqash,ON,6740,951198
T10197476,Aufderhar Runolfsdottir and Roberts,Cungking,PE,950721,469900
T10197721,Kiehn Inc,Poá,BC,465763,963258
T10211036,Kozey Grimes and Trantow,Bobai,NF,1481,602894
T10216774,Kunze Pouros and Marks,Lennec,MB,304848,587917
T10225787,Mitchell Group,Chegang,NB,155172,71592
T1022711,Morissette McGlynn and Upton,Bumirejo,AB,823301,869250
T10237686,Torp-Russel,Seara,ON,233728,697860
T10242879,Watsica-Nienow,Dayr Sharaf,ON,213827,615718
T10249891,Gulgowski Barton and Abernathy,El Tambo,AB,14973,239719
T10255784,Turner LLC,Saint Louis,YK,972638,973055
T10266562,Mosciski Group,Yudaikelike,QC,582357,820621
T10270782,Wolf-Morar,Ibitinga,NT,631107,150712
T10295763,Barrows O'Conner and Kozey,Changchun,NF,107029,769752
T10308679,Gulgowski and Sons,Taipa,NF,851195,648247
T10314645,Langosh Kshlerin and Schmidt,Juarez,NF,271915,270727
T10316258,Bailey Inc,Umi,ON,835873,412300
T10320131,Adams-Murphy,Selikhino,MB,125275,107321
T10322634,McGlynn Rice and Lind,Stará Huť,YK,764915,318723
T10325635,Hyatt LLC,Laocheng,NF,310444,926386
T10366124,Block Inc,Cabra Figa,SK,611664,752336
T10370707,Bode LLC,Sofádes,QC,922816,274885
T10377097,Mosciski-Schultz,Xin’an,BC,146217,962069
T10377406,Goldner Group,Sölvesborg,PE,764888,806118
T10380562,Gibson Gaylord and White,Sihe,QC,599803,152288
T10393425,Becker-Crist,Āsbe Teferī,YK,498237,701857
T10403920,Kohler LLC,Szubin,ON,605316,879520
T10404231,Waelchi Inc,Harderwijk,NT,232392,217508
T10425250,Heaney LLC,Puqian,NT,812230,305061
T10438529,Nader Douglas and Legros,Raksajaya,ON,663263,665655
T10444850,Hessel-Renner,La Libertad,AB,431030,536100
T10469501,Barton LLC,Muroto-misakicho,ON,510254,285615
T10488359,Miller LLC,Singkup,BC,64402,983028
T10489458,Dicki-Rath,Sviblovo,SK,703347,502250
T10493630,Klein Kovacek and Hackett,Palmas De Gran Canaria Las,BC,390437,442231
T10501801,O'Hara Trantow and Murray,Cabcaben,MB,475457,790852
T10505122,Steuber Runolfsdottir and Schmitt,Lamadelaine,MB,678087,230879
T1050589,Herzog Group,Novorossiysk,NT,74995,852107
T10511507,Smith MacGyver and Smith,Gondanglegi Wetan,PE,709726,832444
T10513727,Rosenbaum Aufderhar and Reinger,Bicesse,MB,969264,149687
T10521481,Hessel Rath and Bayer,Nagbukel,MB,729533,348852
T10531309,Wintheiser-Cummerata,Kuafeu,AB,875572,316979
T1054730,Hyatt Halvorson and MacGyver,Hartswater,YK,363330,345931
T10556541,Welch-Schmitt,Morales,BC,83268,676744
T10561783,Ullrich Group,Belyye Berega,NS,645381,918903
T10567312,Daugherty Inc,Bulri,NT,756032,870668
T10568516,Legros Inc,Biao,AB,543670,11062
T10577814,Runolfsson Carroll and Turner,Kinango,MB,531478,755995
T10585766,Morissette Botsford and Treutel,Tonga,NF,869464,581215
T10602239,Schulist Wilkinson and Donnelly,Khlung,ON,238350,325805
T10607620,Beahan Brekke and Kerluke,Pitumarca,NB,626946,419163
T10608764,Grady Schamberger and Ebert,Subkowy,YK,604759,186389
T10629944,Marks-Adams,Szynwałd,QC,570462,333645
T10631092,Larson-Predovic,Kristinehamn,NB,991170,203569
T10641615,Stoltenberg LLC,Llaillay,MB,289449,532389
T10645681,Wehner-Senger,Rende,QC,228735,493458
T10650527,Koss Walker and Torp,Magoúla,NS,693396,840657
T10650637,Hamill-Schumm,Barrio San Luis,MB,586119,426155
T10650641,Willms-Weimann,Karang,SK,419854,354324
T1067760,Goodwin-Strosin,Salfīt,MB,429996,178770
T10691427,Emmerich-Hyatt,Cateel,SK,500914,255251
T10703813,Wiza Langosh and Rolfson,Kohtla-Järve,AB,797240,880855
T10706277,Mitchell-Cremin,Tangchi,AB,306171,26538
T10709207,Barrows-Keebler,Lagunillas,QC,683949,889748
T10717249,Satterfield Labadie and Heller,Ancasti,QC,278450,670327
T10724240,Wilkinson Group,Bāft,NF,85295,893103
T10726530,Strosin-Grady,Sanom,NS,661515,474544
T10726920,Kiehn LLC,Ninh Hòa,NB,61574,1957
T10728465,Mayert-Halvorson,Achanizo,ON,971389,607723
T10735815,Mertz Group,Rogoźnik,NS,620095,18283
T10739939,Waters-Frami,Konstantynów Łódzki,NT,744531,835099
