TAN,NOT,City,Province,PI,RI
T53967724,Wbsemgvwtv,Banff,AL,428034,306450
T35700020,Rnskmvcarj,Laval,QC,64347,673588
T94067732,Rfqjdihobe,Kamloops,BC,482274,130247
T92374709,Kanbfibfnn,Lethbridge,AL,711949,964297
T27381278,Umzhnmoicx,Dorval,QC,659018,208771
T24161357,Thxworvyyj,Etobicoke,ON,279755,984998
T74948184,Wkgqckoxfj,Gatineau,QC,846614,31534
T56793183,Ovfeaauake,Langley,BC,772231,200896
T78120423,Irzrmadkbz,Peterborough,ON,249302,765618
T51418366,Ljuhosxvzz,Hu8ll,QC,635588,448219
T43554178,Eoquegofyh,Banff,AL,520482,340942
T85694844,Oqrgeajnpn,Rimouski,QC,703165,745078
T46982531,Sgakgzypfj,Picton,ON,370061,473061
T86397209,Qulkpzzwwa,Bancroft,ON,773163,518778
T93613183,Cjsotixkdx,Bordon,PEI,846868,430543
T32660229,Hzoxindkvf,York,ON,513918,447062
T40504238,Rtpiamjsem,Lethbridge,AL,458838,565624
T20640356,Zmxytxnjsg,Chambly,QC,423390,651017
T38395578,Rdqsclmhon,Kitimat,BC,424800,998189
T45839150,Kdhtouyrxp,Ottawa,ON,702787,103335
T93296589,Iumkbubyrv,Dawson,YK,698825,489446
T98817760,Gtnjdqboxp,Cornwall,ON,82027,55916
T07655165,Umwtylvqwz,Banff,AL,433243,540956
T84920711,Tsfmqacamb,Charlottetown,PEI,367410,698023
T03074500,Xlpdvapsay,Toronto,ON,254810,144016
T84442145,Wginblrjtg,Lethbridge,AL,448661,602600
T68949114,Ibodtncnbr,Sherbrooke,QC,829202,298770
T83099127,Fnjgonyqfh,Regina,SK,123289,456610
T30308111,Lopquycbfh,Windsor,ON,48863,687376
T37169486,Dqsmpmnqvw,Montreal,QC,280903,663426
